#{"t_start": 1701555833.6479151, "env_id": "Ant-v4"}
r,l,t
762.805951,1000,2.43409
-2513.986302,1000,10.662161
-2702.158665,1000,18.811776
-1993.257414,1000,27.252366
-316.553232,197,33.661617
-15.304271,17,34.502306
-39.910731,29,34.594127
-216.640249,95,34.775536
-52.672695,52,35.246235
-162.948254,109,35.53082
-36.456402,14,36.591211
-426.608864,494,38.269889
389.430432,1000,44.153211
667.015372,1000,52.987733
496.672708,1000,61.073237
737.708659,1000,69.712417
796.978215,1000,78.549756
610.874308,1000,87.288723
327.027153,1000,95.729104
841.676778,1000,104.024388
814.313126,1000,113.101743
172.505589,1000,121.565832
775.910146,1000,130.054825
850.331523,1000,138.219417
770.010754,1000,146.320183
848.766908,1000,154.571761
866.157486,1000,162.624981
843.655175,1000,170.739904
809.721293,1000,180.698158
565.983153,1000,189.116913
814.988117,1000,197.571829
892.298838,1000,205.995437
898.605992,1000,214.341507
889.294306,1000,222.65846
440.052425,1000,231.054501
884.925411,1000,239.406673
798.768783,1000,247.901207
891.138817,1000,255.855863
816.780437,1000,264.190043
859.821146,1000,272.661032
901.469077,1000,280.890222
623.924004,1000,289.441961
888.750256,1000,297.843842
853.799796,1000,306.190605
875.246258,1000,314.444768
871.551683,1000,322.904247
864.065047,1000,331.267727
911.934094,1000,339.521409
853.042346,1000,347.938559
857.176923,1000,355.540102
878.92051,1000,363.86623
893.927451,1000,372.23737
866.858673,1000,380.582629
879.786452,1000,389.922474
834.522956,1000,399.60216
879.56555,1000,408.428698
850.277412,1000,416.613957
879.036018,1000,425.780197
883.576089,1000,434.249323
915.451123,1000,445.100027
907.305334,1000,454.560936
890.669437,1000,462.961438
937.202264,1000,471.771869
910.58128,1000,480.121029
882.674551,1000,488.570667
913.04989,1000,497.586398
866.141421,1000,506.009704
910.254702,1000,515.207108
874.116831,1000,525.202915
922.836205,1000,534.727899
950.167938,1000,543.306964
938.057993,1000,551.23164
908.05341,1000,559.456361
948.663242,1000,568.965334
899.437599,1000,577.045444
935.848449,1000,584.273887
926.483334,1000,591.658757
856.845921,1000,599.625439
894.82881,1000,608.678106
907.03686,1000,616.627227
851.96342,1000,624.863844
881.379462,1000,631.992597
876.967135,1000,639.366743
-399.496844,1000,647.179267
810.109031,1000,654.357049
881.136733,1000,661.601801
872.367581,1000,668.692695
912.547926,1000,675.828058
940.173768,1000,683.12345
947.030847,1000,690.818992
906.884035,1000,698.720749
956.508838,1000,705.864116
926.55182,1000,712.948451
467.492468,1000,719.987949
415.355438,1000,727.083145
628.772009,1000,734.47647
731.80636,1000,742.434789
997.112238,1000,750.791139
897.589433,1000,759.994338
974.347537,1000,767.115451
878.407642,1000,774.30501
847.63566,1000,779.963153
927.269333,1000,787.030217
287.106498,709,792.577075
915.786342,1000,798.295564
904.962699,1000,805.427592
921.863313,1000,813.262929
961.687146,1000,820.215306
966.885737,1000,824.11442
967.072157,1000,824.415857
968.128614,1000,824.724771
1027.245343,1000,825.035091
954.784094,1000,825.345955
941.834089,1000,825.672125
964.831003,1000,825.971083
967.592437,1000,826.282809
982.574776,1000,826.594594
987.878176,1000,826.898842
966.464971,1000,827.209533
1062.792613,1000,827.528569
937.981507,1000,827.840846
951.919876,1000,828.157755
965.24902,1000,828.44403
975.38506,1000,828.744077
961.894782,1000,829.029257
999.125086,1000,829.325606
973.289101,1000,829.613097
987.862887,1000,829.910918
959.326541,1000,830.207396
989.433155,1000,830.501227
982.965533,1000,830.803165
1040.113047,1000,831.099861
958.103248,1000,831.393126
979.882642,1000,831.692074
989.581926,1000,831.988545
960.265188,1000,832.274047
-368.804228,1000,832.574502
1015.052032,1000,832.867415
955.23292,1000,833.152826
1062.305392,1000,833.448583
964.179453,1000,833.734979
948.174998,1000,834.033101
422.62397,1000,834.345788
1001.280326,1000,834.642303
960.103926,1000,834.968654
-0.843424,1000,835.26533
957.326198,1000,835.562663
976.549551,1000,835.860921
960.488855,1000,836.159009
989.045044,1000,836.469491
984.605448,1000,836.763958
938.876334,1000,837.063371
959.039411,1000,837.35899
965.023225,1000,837.641743
967.737555,1000,837.926225
955.434349,1000,838.226065
957.289517,1000,838.525075
984.363648,1000,838.820992
947.810768,1000,839.108207
1016.412717,1000,839.398947
928.535939,1000,839.694239
955.563415,1000,839.990198
988.683319,1000,840.289639
968.614171,1000,840.585234
980.05988,1000,840.881516
988.485112,1000,841.180698
991.772802,1000,841.471235
985.368098,1000,841.768136
1020.620011,1000,842.063165
962.411375,1000,842.363489
73.917449,1000,842.652127
963.813369,1000,842.94898
955.081391,1000,843.250421
957.220348,1000,843.536245
974.452723,1000,843.83198
969.517899,1000,844.117334
839.040132,1000,844.414582
974.981779,1000,844.711774
956.519321,1000,845.009063
968.504546,1000,845.299226
957.585644,1000,845.616977
993.422259,1000,845.934371
964.487034,1000,846.247134
962.407114,1000,846.577907
975.872154,1000,846.892766
948.649452,1000,847.207314
931.239125,1000,847.51851
963.601431,1000,847.830677
-265.225736,1000,848.13954
976.399968,1000,848.439621
988.074188,1000,848.757885
956.942925,1000,849.056227
965.516835,1000,849.371413
961.517215,1000,849.682946
969.455675,1000,849.984427
945.370417,1000,850.297506
970.007754,1000,850.611208
975.474864,1000,850.910698
960.919185,1000,851.223178
989.07285,1000,851.536775
527.690125,1000,851.866194
965.911827,1000,852.16538
979.296862,1000,852.473533
953.61798,1000,852.773826
961.754438,1000,853.082415
964.151059,1000,853.396439
981.382185,1000,853.701177
942.601958,1000,854.012788
